Episode,Timestep,Reward,Loss,WinRate,Epsilon
222,4410,-17.00,1.847983,36.94,0.0100
223,4423,54.50,1.737842,37.22,0.0100
224,4440,-18.00,1.812689,37.05,0.0100
225,4462,63.17,2.064127,37.33,0.0100
226,4470,-27.00,1.944508,37.17,0.0100
227,4476,-28.00,2.541772,37.00,0.0100
228,4506,-2.00,2.085537,36.84,0.0100
229,4531,62.33,1.968901,37.12,0.0100
230,4552,57.00,1.864147,37.39,0.0100
231,4571,-19.00,1.887032,37.23,0.0100
232,4596,-8.00,1.803370,37.07,0.0100
233,4621,58.83,2.261111,37.34,0.0100
234,4638,-12.00,2.383043,37.18,0.0100
235,4660,61.00,2.118918,37.45,0.0100
236,4677,-19.00,1.839159,37.29,0.0100
237,4695,-20.00,1.821988,37.13,0.0100
238,4714,55.67,2.093953,37.39,0.0100
239,4740,-4.00,2.047637,37.24,0.0100
240,4760,-14.00,2.065586,37.08,0.0100
241,4776,-19.00,1.977510,36.93,0.0100
242,4791,-21.00,2.187305,36.78,0.0100
243,4822,66.83,1.940617,37.04,0.0100
244,4841,-19.00,1.930484,36.89,0.0100
245,4858,58.17,1.773390,37.14,0.0100
246,4863,-29.00,2.271337,36.99,0.0100
247,4884,-20.00,2.395389,36.84,0.0100
248,4912,64.33,1.993915,37.10,0.0100
249,4939,62.17,1.866061,37.35,0.0100
250,4961,-18.00,2.174156,37.20,0.0100
251,4990,67.67,1.938928,37.45,0.0100
252,4995,-29.00,1.518398,37.30,0.0100
253,5013,-15.00,1.942016,37.15,0.0100
254,5035,58.50,1.913728,37.40,0.0100
255,5054,-17.00,1.880314,37.25,0.0100
256,5088,-1.00,2.185945,37.11,0.0100
257,5108,-16.00,2.294024,36.96,0.0100
258,5126,-15.00,2.105911,36.82,0.0100
259,5145,-19.00,1.970374,36.68,0.0100
260,5163,-17.00,2.345049,36.54,0.0100
261,5186,-13.00,1.831328,36.40,0.0100
262,5214,-3.00,1.946139,36.26,0.0100
263,5239,65.00,1.891546,36.50,0.0100
264,5250,-26.00,1.884892,36.36,0.0100
265,5272,63.33,2.660850,36.60,0.0100
266,5294,-16.00,2.405886,36.47,0.0100
267,5319,-6.00,2.317823,36.33,0.0100
268,5341,60.00,2.381177,36.57,0.0100
269,5358,-18.00,2.397967,36.43,0.0100
270,5373,-24.00,2.415748,36.30,0.0100
271,5403,-4.00,1.926714,36.16,0.0100
272,5425,62.17,2.266711,36.40,0.0100
273,5442,-18.00,2.435787,36.26,0.0100
274,5466,-6.00,2.156204,36.13,0.0100
275,5497,66.00,2.482868,36.36,0.0100
276,5514,-12.00,2.517058,36.23,0.0100
277,5544,-5.00,2.439278,36.10,0.0100
278,5569,60.67,2.465929,36.33,0.0100
279,5585,-20.00,2.478533,36.20,0.0100
280,5609,-19.00,2.445836,36.07,0.0100
281,5627,-19.00,2.095019,35.94,0.0100
282,5643,-21.00,2.700737,35.82,0.0100
283,5665,63.33,2.056681,36.04,0.0100
284,5673,-27.00,2.664605,35.92,0.0100
285,5694,-18.00,2.871327,35.79,0.0100
286,5711,-21.00,2.365960,35.66,0.0100
287,5730,-11.00,2.647160,35.54,0.0100
288,5747,-17.00,2.720863,35.42,0.0100
289,5751,-29.00,2.440359,35.29,0.0100
290,5763,-23.00,2.068021,35.17,0.0100
291,5780,-17.00,2.910307,35.05,0.0100
292,5798,-20.00,2.513424,34.93,0.0100
293,5823,-4.00,2.316702,34.81,0.0100
294,5842,59.50,2.285247,35.03,0.0100
295,5868,-13.00,2.661070,34.92,0.0100
296,5890,63.83,2.547218,35.14,0.0100
297,5916,-4.00,2.380687,35.02,0.0100
298,5941,62.00,2.381963,35.23,0.0100
299,5961,-17.00,2.349259,35.12,0.0100
300,5982,-14.00,2.559540,35.00,0.0100
301,5998,56.17,2.395811,35.22,0.0100
302,6017,-6.00,2.551010,35.10,0.0100
303,6033,-19.00,2.270895,34.98,0.0100
304,6052,60.00,2.675543,35.20,0.0100
305,6057,-29.00,2.670680,35.08,0.0100
306,6075,-20.00,2.548676,34.97,0.0100
307,6088,57.50,2.662482,35.18,0.0100
308,6112,64.83,2.992324,35.39,0.0100
309,6138,-4.00,2.939331,35.28,0.0100
310,6159,-11.00,2.535731,35.16,0.0100
311,6181,58.00,2.571459,35.37,0.0100
312,6208,63.33,3.130979,35.58,0.0100
313,6227,-17.00,2.749053,35.46,0.0100
314,6234,-28.00,2.449977,35.35,0.0100
315,6259,64.17,2.715893,35.56,0.0100
316,6267,-27.00,2.070909,35.44,0.0100
317,6286,60.17,3.137960,35.65,0.0100
318,6306,-15.00,2.668312,35.53,0.0100
319,6325,57.33,2.649553,35.74,0.0100
320,6348,-16.00,3.061965,35.62,0.0100
321,6368,-20.00,3.076362,35.51,0.0100
322,6397,65.50,2.850262,35.71,0.0100
323,6416,-15.00,2.825819,35.60,0.0100
324,6435,-19.00,3.060649,35.49,0.0100
325,6444,-18.00,2.692144,35.38,0.0100
326,6463,63.67,2.870338,35.58,0.0100
327,6492,-7.00,3.299579,35.47,0.0100
